Progress,Duration (in seconds),Finished,QID1,QID31_1,QID31_2,QID27_1,QID27_2,QID28_1,QID28_2,QID28_3,QID28_4,QID30_1,QID30_2,QID30_3,QID30_4,QID3_1,QID7_1,QID8_1,QID4_1,QID9_1,QID10_1,QID5_1,QID11_1,QID12_1,QID6_1,QID13_1,QID15_1,QID22_1,QID22_2,QID22_3,QID22_4,QID22_5,QID22_6,QID16,QID16_4_TEXT,QID17,QID18,QID19,QID20
96,531,FALSE,I agree,,,,,2,5,2,1,,,,,Extremely easy,Strongly agree,Extremely satisfied,Extremely well,Very confident,No,Somewhat safe,Probably yes,A moderate amount,Extremely easy,Very successful,Very low,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Moderately familiar,Not familiar at all,Male,,56,White,High school degree or equivalent (e.g. GED),"Less than $20,000"
96,262,FALSE,I agree,,,,,2,4,2,2,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Very well,Very confident,No,Somewhat dangerous,Probably yes,A moderate amount,Somewhat easy,Somewhat successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,32,Asian,"Some college, no degree","Less than $20,000"
100,176,TRUE,I agree,,,8,2,,,,,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Slightly well,Somewhat confident,No,Somewhat dangerous,Probably yes,A moderate amount,Neither easy nor difficult,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Female,,35,White,"4 year degree (e.g. BA, BS)","Over $100,000"
100,144,TRUE,I agree,,,8,2,,,,,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Moderately well,Somewhat confident,No,Somewhat safe,Probably yes,A moderate amount,Somewhat easy,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,27,White,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","$75,000 to $99,999"
100,156,TRUE,I agree,,,4,6,,,,,,,,,Extremely easy,Strongly agree,Extremely satisfied,Very well,Somewhat confident,Yes ,Somewhat dangerous,Probably not,A little,Extremely easy,Somewhat successful,Very low,Very familiar,Not familiar at all,Not familiar at all,Not familiar at all,Very familiar,Not familiar at all,Female,,33,"Black, African American,White","2 year degree (e.g. AA, AS)","$35,000 to $49,999"
100,258,TRUE,I agree,,,6,4,,,,,,,,,Neither easy nor difficult,Neither agree nor disagree,Somewhat satisfied,Moderately well,Neither confident nor unsure,No,Somewhat dangerous,Might or might not,A moderate amount,Somewhat easy,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,55,White,"Some college, no degree","Over $100,000"
100,155,TRUE,I agree,,,6,4,,,,,,,,,Neither easy nor difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Slightly well,Somewhat unsure,No,Neither safe nor dangerous,Might or might not,A little,Neither easy nor difficult,Neither successful nor unsuccessful,Neither low nor high,Not familiar at all,Extremely familiar,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,36,White,"4 year degree (e.g. BA, BS)","Over $100,000"
100,322,TRUE,I agree,,,4,6,,,,,,,,,Neither easy nor difficult,Somewhat disagree,Somewhat dissatisfied,Slightly well,Somewhat unsure,No,Somewhat dangerous,Probably yes,A little,Somewhat easy,Neither successful nor unsuccessful,Neither low nor high,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Slightly familiar,Not familiar at all,Female,,40,"Hispanic, Latino, or Spanish",High school degree or equivalent (e.g. GED),"Over $100,000"
100,302,TRUE,I agree,,,9,1,,,,,,,,,Neither easy nor difficult,Strongly agree,Somewhat satisfied,Slightly well,Somewhat unsure,No,Somewhat safe,Might or might not,A little,Somewhat easy,Neither successful nor unsuccessful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,39,White,Less than a high school diploma,"Less than $20,000"
100,266,TRUE,I agree,,,10,0,,,,,,,,,Somewhat difficult,Somewhat disagree,Somewhat dissatisfied,Slightly well,Somewhat confident,Yes ,Somewhat dangerous,Probably not,A little,Somewhat difficult,Somewhat unsuccessful,Very low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,46,White,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","$75,000 to $99,999"
100,297,TRUE,I agree,,,3,7,,,,,,,,,Somewhat easy,Strongly agree,Somewhat satisfied,Very well,Somewhat confident,No,Somewhat safe,Probably yes,A moderate amount,Somewhat easy,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,42,White,"Some college, no degree","$35,000 to $49,999"
100,262,TRUE,I agree,,,4,6,,,,,,,,,Somewhat difficult,Somewhat agree,Somewhat dissatisfied,Slightly well,Very unsure,No,Somewhat dangerous,Probably not,A little,Neither easy nor difficult,Somewhat successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Extremely familiar,Female,,20,Asian,"Some college, no degree","Over $100,000"
100,222,TRUE,I agree,,,6,4,,,,,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Moderately well,Neither confident nor unsure,Yes ,Somewhat safe,Might or might not,A moderate amount,Neither easy nor difficult,Neither successful nor unsuccessful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,24,White,"Some college, no degree","$50,000 to $74,999"
100,175,TRUE,I agree,,,5,5,,,,,,,,,Extremely difficult,Strongly disagree,Extremely dissatisfied,Not well at all,Very unsure,No,Neither safe nor dangerous,Probably not,None at all,Extremely difficult,Very unsuccessful,somewhat high,Not familiar at all,Not familiar at all,Moderately familiar,Not familiar at all,Slightly familiar,Not familiar at all,Female,,35,White,"Some college, no degree","Less than $20,000"
100,250,TRUE,I agree,,,6,4,,,,,,,,,Neither easy nor difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Slightly well,Somewhat unsure,No,Neither safe nor dangerous,Might or might not,None at all,Neither easy nor difficult,Neither successful nor unsuccessful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,35,White,"Some college, no degree","$35,000 to $49,999"
100,679,TRUE,I agree,,,8,2,,,,,,,,,Somewhat easy,Neither agree nor disagree,Somewhat satisfied,Slightly well,Somewhat unsure,No,Somewhat dangerous,Probably yes,A little,Neither easy nor difficult,Neither successful nor unsuccessful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Slightly familiar,Male,,21,"Asian,White","Some college, no degree","Over $100,000"
100,244,TRUE,I agree,,,7.5,2.5,,,,,,,,,Extremely easy,Strongly agree,Extremely satisfied,Extremely well,Somewhat confident,No,Very safe,Probably not,A little,Neither easy nor difficult,Somewhat successful,Very low,Not familiar at all,Not familiar at all,Not familiar at all,Moderately familiar,Moderately familiar,Extremely familiar,Female,,30,White,"4 year degree (e.g. BA, BS)","Over $100,000"
100,284,TRUE,I agree,,,5,5,,,,,,,,,Somewhat easy,Strongly agree,Extremely satisfied,Moderately well,Somewhat confident,No,Very safe,Definitely yes,A lot,Somewhat easy,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,39,White,Less than a high school diploma,"$35,000 to $49,999"
96,229,FALSE,I agree,,,10,0,,,,,,,,,Somewhat difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Slightly well,Somewhat confident,No,Somewhat dangerous,Might or might not,A little,Somewhat difficult,Neither successful nor unsuccessful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,28,"American Indian, Alaska Native,White","Some college, no degree","$75,000 to $99,999"
96,579,FALSE,I agree,,,10,0,,,,,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Very well,Somewhat confident,No,Somewhat dangerous,Might or might not,A little,Somewhat easy,Somewhat successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,22,Asian,"4 year degree (e.g. BA, BS)","Less than $20,000"
96,138,FALSE,I agree,,,4,6,,,,,,,,,Somewhat easy,Somewhat agree,Extremely satisfied,Extremely well,Somewhat confident,No,Neither safe nor dangerous,Probably yes,A moderate amount,Extremely easy,Somewhat successful,Very low,Slightly familiar,Not familiar at all,Not familiar at all,Slightly familiar,Slightly familiar,Not familiar at all,Female,,40,White,"4 year degree (e.g. BA, BS)","$50,000 to $74,999"
96,171,FALSE,I agree,,,6,4,,,,,,,,,Somewhat easy,Neither agree nor disagree,Extremely satisfied,Very well,Somewhat confident,No,Somewhat dangerous,Might or might not,A moderate amount,Somewhat easy,Somewhat successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Slightly familiar,Not familiar at all,Male,,19,White,High school degree or equivalent (e.g. GED),"$20,000 to $34,999"
96,657,FALSE,I agree,,,2,8,,,,,,,,,Somewhat easy,Strongly agree,Neither satisfied nor dissatisfied,Moderately well,Somewhat confident,Yes ,Neither safe nor dangerous,Probably yes,A lot,Somewhat easy,Somewhat successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,60,"Black, African American","Some college, no degree","$20,000 to $34,999"
96,126,FALSE,I agree,,,8,2,,,,,,,,,Somewhat easy,Strongly agree,Somewhat satisfied,Slightly well,Neither confident nor unsure,No,Somewhat safe,Probably yes,A moderate amount,Extremely easy,Neither successful nor unsuccessful,Very low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Moderately familiar,Slightly familiar,Male,,38,White,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","Over $100,000"
96,144,FALSE,I agree,,,4,6,,,,,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Moderately well,Neither confident nor unsure,No,Somewhat dangerous,Might or might not,A lot,Somewhat easy,Somewhat successful,somewhat high,Slightly familiar,Not familiar at all,Slightly familiar,Slightly familiar,Not familiar at all,Slightly familiar,Male,,28,White,"Some college, no degree","$75,000 to $99,999"
96,480,FALSE,I agree,,,8,2,,,,,,,,,Extremely easy,Strongly agree,Extremely satisfied,Moderately well,Very confident,No,Somewhat safe,Definitely yes,A great deal,Extremely easy,Very successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,26,White,High school degree or equivalent (e.g. GED),"$50,000 to $74,999"
100,218,TRUE,I agree,4,6,,,,,,,,,,,Extremely easy,Somewhat agree,Somewhat satisfied,Very well,Somewhat confident,No,Neither safe nor dangerous,Probably yes,A moderate amount,Somewhat easy,Very successful,Somewhat low,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,31,"Black, African American","4 year degree (e.g. BA, BS)","$50,000 to $74,999"
100,179,TRUE,I agree,5,5,,,,,,,,,,,Extremely easy,Strongly agree,Extremely satisfied,Extremely well,Very confident,No,Neither safe nor dangerous,Might or might not,A little,Extremely easy,Very successful,Very low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Non-binary / gender non-conforming,,24,White,"4 year degree (e.g. BA, BS)",Prefer not to answer
100,166,TRUE,I agree,6,4,,,,,,,,,,,Somewhat easy,Strongly agree,Extremely satisfied,Moderately well,Somewhat confident,No,Neither safe nor dangerous,Probably not,A little,Somewhat easy,Somewhat successful,Somewhat low,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,38,Asian,"4 year degree (e.g. BA, BS)","$75,000 to $99,999"
100,144,TRUE,I agree,5,5,,,,,,,,,,,Extremely easy,Strongly agree,Extremely satisfied,Extremely well,Very confident,No,Very safe,Definitely yes,A great deal,Extremely easy,Very successful,Very low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,33,White,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","Over $100,000"
100,373,TRUE,I agree,5,5,,,,,,,,,,,Somewhat easy,Strongly agree,Extremely satisfied,Very well,Somewhat confident,No,Neither safe nor dangerous,Probably not,A little,Somewhat easy,Somewhat successful,Neither low nor high,Not familiar at all,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Moderately familiar,Female,,22,"Black, African American","4 year degree (e.g. BA, BS)","Over $100,000"
100,189,TRUE,I agree,6,4,,,,,,,,,,,Somewhat easy,Somewhat agree,Extremely satisfied,Very well,Somewhat confident,No,Somewhat safe,Probably yes,A moderate amount,Somewhat easy,Somewhat successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Slightly familiar,Not familiar at all,Male,,22,White,"4 year degree (e.g. BA, BS)","$75,000 to $99,999"
100,195,TRUE,I agree,6,4,,,,,,,,,,,Somewhat easy,Somewhat agree,Neither satisfied nor dissatisfied,Very well,Somewhat confident,No,Somewhat safe,Probably yes,A moderate amount,Somewhat easy,Somewhat successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,38,White,"Technical, trade or vocational school AFTER high school",Prefer not to answer
100,419,TRUE,I agree,4.5,5.5,,,,,,,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Very well,Somewhat confident,No,Somewhat safe,Probably yes,A moderate amount,Extremely easy,Somewhat successful,Very low,Slightly familiar,Moderately familiar,Not familiar at all,Slightly familiar,Not familiar at all,Not familiar at all,Female,,55,White,"4 year degree (e.g. BA, BS)","Over $100,000"
100,98,TRUE,I agree,5,5,,,,,,,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Very well,Somewhat confident,No,Neither safe nor dangerous,Might or might not,A moderate amount,Extremely easy,Very successful,Very low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Slightly familiar,Not familiar at all,Male,,32,White,"Some college, no degree","$20,000 to $34,999"
100,213,TRUE,I agree,6,4,,,,,,,,,,,Extremely easy,Strongly agree,Extremely satisfied,Extremely well,Somewhat unsure,No,Very safe,Definitely yes,A great deal,Somewhat easy,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,31,"Hispanic, Latino, or Spanish","Some college, no degree","$75,000 to $99,999"
100,140,TRUE,I agree,5,5,,,,,,,,,,,Neither easy nor difficult,Neither agree nor disagree,Somewhat dissatisfied,Not well at all,Very unsure,No,Somewhat dangerous,Probably yes,A little,Somewhat easy,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,37,White,"Some college, no degree","Over $100,000"
100,206,TRUE,I agree,5,5,,,,,,,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Extremely well,Somewhat unsure,No,Somewhat dangerous,Probably not,A little,Neither easy nor difficult,Neither successful nor unsuccessful,Somewhat low,Slightly familiar,Slightly familiar,Not familiar at all,Not familiar at all,Slightly familiar,Slightly familiar,Female,,27,Asian,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","$75,000 to $99,999"
100,174,TRUE,I agree,5,5,,,,,,,,,,,Extremely easy,Strongly agree,Extremely satisfied,Extremely well,Very confident,Yes ,Very safe,Definitely yes,A great deal,Extremely easy,Very successful,Very low,Extremely familiar,Extremely familiar,Extremely familiar,Extremely familiar,Extremely familiar,Very familiar,Male,,27,White,High school degree or equivalent (e.g. GED),"$50,000 to $74,999"
100,166,TRUE,I agree,6.5,3.5,,,,,,,,,,,Somewhat difficult,Somewhat disagree,Neither satisfied nor dissatisfied,Not well at all,Very confident,No,Neither safe nor dangerous,Probably yes,A little,Neither easy nor difficult,Somewhat unsuccessful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,33,White,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","$75,000 to $99,999"
100,472,TRUE,I agree,7,3,,,,,,,,,,,Extremely easy,Strongly agree,Extremely satisfied,Very well,Neither confident nor unsure,No,Neither safe nor dangerous,Probably yes,A moderate amount,Neither easy nor difficult,Somewhat successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Moderately familiar,Not familiar at all,Female,,53,White,High school degree or equivalent (e.g. GED),"$20,000 to $34,999"
100,189,TRUE,I agree,5,5,,,,,,,,,,,Neither easy nor difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Slightly well,Very unsure,No,Neither safe nor dangerous,Might or might not,A little,Neither easy nor difficult,Neither successful nor unsuccessful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,40,White,"Some college, no degree","$35,000 to $49,999"
100,286,TRUE,I agree,7,3,,,,,,,,,,,Neither easy nor difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Moderately well,Neither confident nor unsure,No,Neither safe nor dangerous,Might or might not,A little,Neither easy nor difficult,Neither successful nor unsuccessful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,52,"American Indian, Alaska Native,White",High school degree or equivalent (e.g. GED),"$20,000 to $34,999"
100,311,TRUE,I agree,4,6,,,,,,,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Slightly well,Somewhat unsure,No,Somewhat dangerous,Definitely not,None at all,Somewhat easy,Somewhat successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Slightly familiar,Not familiar at all,Female,,50,White,High school degree or equivalent (e.g. GED),"Less than $20,000"
100,810,TRUE,I agree,10,0,,,,,,,,,,,Extremely easy,Somewhat disagree,Somewhat satisfied,Extremely well,Somewhat confident,No,Neither safe nor dangerous,Probably not,None at all,Extremely easy,Very successful,Very low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Moderately familiar,Not familiar at all,Male,,25,"Black, African American",Less than a high school diploma,"Less than $20,000"
96,176,FALSE,I agree,6,4,,,,,,,,,,,Neither easy nor difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Very well,Somewhat confident,No,Somewhat safe,Probably yes,A lot,Somewhat difficult,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,30,White,"Some college, no degree","$20,000 to $34,999"
96,615,FALSE,I agree,5,5,,,,,,,,,,,Neither easy nor difficult,Somewhat disagree,Neither satisfied nor dissatisfied,Moderately well,Somewhat confident,No,Neither safe nor dangerous,Might or might not,A little,Neither easy nor difficult,Neither successful nor unsuccessful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,31,White,High school degree or equivalent (e.g. GED),"$20,000 to $34,999"
96,466,FALSE,I agree,6,4,,,,,,,,,,,Somewhat difficult,Somewhat agree,Somewhat satisfied,Moderately well,Somewhat confident,No,Neither safe nor dangerous,Probably yes,A moderate amount,Somewhat difficult,Very successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,35,White,High school degree or equivalent (e.g. GED),"$75,000 to $99,999"
96,172,FALSE,I agree,5,5,,,,,,,,,,,Neither easy nor difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Very well,Somewhat confident,No,Neither safe nor dangerous,Might or might not,A little,Somewhat easy,Neither successful nor unsuccessful,Somewhat low,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Moderately familiar,Not familiar at all,Female,,27,White,High school degree or equivalent (e.g. GED),"Less than $20,000"
96,826,FALSE,I agree,6,4,,,,,,,,,,,Somewhat easy,Somewhat disagree,Somewhat dissatisfied,Moderately well,Somewhat confident,No,Somewhat dangerous,Might or might not,A little,Somewhat easy,Neither successful nor unsuccessful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,22,White,High school degree or equivalent (e.g. GED),"Over $100,000"
96,212,FALSE,I agree,8,2,,,,,,,,,,,Extremely easy,Strongly agree,Extremely satisfied,Very well,Neither confident nor unsure,No,Somewhat safe,Definitely yes,A little,Extremely easy,Very successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,46,White,"Some college, no degree","$50,000 to $74,999"
96,432,FALSE,I agree,8,2,,,,,,,,,,,Somewhat easy,Somewhat agree,Somewhat satisfied,Very well,Somewhat unsure,No,Neither safe nor dangerous,Might or might not,A little,Neither easy nor difficult,Neither successful nor unsuccessful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,32,"Hispanic, Latino, or Spanish","Some college, no degree","Over $100,000"
96,746,FALSE,I agree,4,6,,,,,,,,,,,Somewhat difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Not well at all,Somewhat unsure,No,Neither safe nor dangerous,Probably yes,A lot,Somewhat difficult,Neither successful nor unsuccessful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Slightly familiar,Not familiar at all,Female,,29,"American Indian, Alaska Native,Asian,White",Less than a high school diploma,"$20,000 to $34,999"